Year,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2021,73009,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.8,,,34.6,47.6,1264,POINT (-98.3636239 35.28608367),73009,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73010,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.8,,,8.7,10.9,17563,POINT (-97.67844358 35.10621257),73010,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73010,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39,,,33.9,44.2,17563,POINT (-97.67844358 35.10621257),73010,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73011,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.9,,,11,14.9,416,POINT (-97.711836 34.8557939),73011,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73011,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.3,,,33.5,47.3,416,POINT (-97.711836 34.8557939),73011,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73012,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.5,,,6.5,8.5,25851,POINT (-97.59363066 35.66750814),73012,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73012,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,32.2,,,28.2,36.3,25851,POINT (-97.59363066 35.66750814),73012,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73013,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.8,,,7.6,10,43933,POINT (-97.43753475 35.61645401),73013,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73013,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,32.1,,,28.1,36.1,43933,POINT (-97.43753475 35.61645401),73013,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73014,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.6,,,11,14.5,1431,POINT (-98.14625796 35.58106471),73014,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73014,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40,,,35,45.1,1431,POINT (-98.14625796 35.58106471),73014,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73015,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,17.2,,,15.3,19.3,2877,POINT (-98.59537394 35.08054168),73015,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73015,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,45.2,,,39.1,51.4,2877,POINT (-98.59537394 35.08054168),73015,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73016,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.9,,,7.7,10,1850,POINT (-97.68711147 35.79894256),73016,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73016,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,38.4,,,32.5,44.2,1850,POINT (-97.68711147 35.79894256),73016,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73017,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.4,,,11.2,13.7,1780,POINT (-98.09377254 34.92620499),73017,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73017,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.3,,,36.4,46.4,1780,POINT (-98.09377254 34.92620499),73017,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73018,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.2,,,10.6,14.1,19936,POINT (-97.94097074 35.05122421),73018,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73018,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.5,,,33,46.6,19936,POINT (-97.94097074 35.05122421),73018,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73020,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.1,,,9.7,12.6,20810,POINT (-97.26217939 35.45871475),73020,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73020,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36,,,31.9,40.3,20810,POINT (-97.26217939 35.45871475),73020,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73021,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.5,,,10.8,14.3,352,POINT (-98.66216982 35.34251344),73021,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73021,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,38.3,,,31.6,45.7,352,POINT (-98.66216982 35.34251344),73021,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73024,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.4,,,10.5,14.7,637,POINT (-98.79809559 35.35865049),73024,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73024,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,33.9,,,26.7,41.7,637,POINT (-98.79809559 35.35865049),73024,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73025,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.8,,,7.9,10,11579,POINT (-97.5727831 35.73235206),73025,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73025,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.1,,,32.3,40.4,11579,POINT (-97.5727831 35.73235206),73025,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73026,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.7,,,10.1,13.4,10437,POINT (-97.27914237 35.23430893),73026,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73026,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.3,,,31.2,42.2,10437,POINT (-97.27914237 35.23430893),73026,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73027,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.7,,,10.5,13.1,1493,POINT (-97.2069105 35.96347628),73027,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73027,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.9,,,38,48.2,1493,POINT (-97.2069105 35.96347628),73027,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73028,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.9,,,11.1,14.8,3454,POINT (-97.62714577 35.97493737),73028,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73028,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.8,,,35.9,49.7,3454,POINT (-97.62714577 35.97493737),73028,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73029,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.4,,,11.8,15.2,1818,POINT (-98.20637613 34.90561188),73029,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73029,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.9,,,35.4,48.4,1818,POINT (-98.20637613 34.90561188),73029,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73030,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.2,,,11.4,15,4464,POINT (-97.1862335 34.45470903),73030,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73030,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.5,,,33.9,49.3,4464,POINT (-97.1862335 34.45470903),73030,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73032,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.6,,,11.6,15.6,222,POINT (-97.04675591 34.39860304),73032,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73032,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.9,,,34,49.9,222,POINT (-97.04675591 34.39860304),73032,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73033,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.7,,,12,15.6,387,POINT (-98.54662565 35.31438559),73033,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73033,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.5,,,34.1,47.1,387,POINT (-98.54662565 35.31438559),73033,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73034,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.9,,,7.9,9.9,39872,POINT (-97.42549708 35.70188846),73034,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73034,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,33.8,,,30.3,37.4,39872,POINT (-97.42549708 35.70188846),73034,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73036,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12,,,10.4,13.6,18595,POINT (-97.9722965 35.55148679),73036,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73036,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.9,,,36,45.8,18595,POINT (-97.9722965 35.55148679),73036,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73038,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,15.9,,,14.1,17.9,2032,POINT (-98.4459605 35.12207123),73038,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73038,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.7,,,37.5,50.4,2032,POINT (-98.4459605 35.12207123),73038,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73040,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.2,,,11.8,14.9,1976,POINT (-98.37557527 35.64160191),73040,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73040,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.4,,,35.1,47.5,1976,POINT (-98.37557527 35.64160191),73040,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73041,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.8,,,10.9,14.7,366,POINT (-98.8756765 35.01503132),73041,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73041,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.9,,,32.6,47.6,366,POINT (-98.8756765 35.01503132),73041,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73042,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.8,,,11.2,14.5,1073,POINT (-98.3063805 35.20389493),73042,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73042,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.6,,,35.2,48.5,1073,POINT (-98.3063805 35.20389493),73042,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73043,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,16.3,,,13.8,19,125,POINT (-98.39715865 35.7342539),73043,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73043,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.4,,,33.2,50,125,POINT (-98.39715865 35.7342539),73043,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73044,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.9,,,10.2,13.7,20226,POINT (-97.442891 35.88069993),73044,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73044,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.8,,,35.9,49.9,20226,POINT (-97.442891 35.88069993),73044,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73045,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.7,,,10.5,13,10378,POINT (-97.14369349 35.51213105),73045,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73045,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.4,,,33.5,41.3,10378,POINT (-97.14369349 35.51213105),73045,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73047,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10,,,8.9,11.3,4774,POINT (-98.3840505 35.47889543),73047,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73047,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.4,,,35.9,47,4774,POINT (-98.3840505 35.47889543),73047,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73048,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.3,,,11.1,13.6,2020,POINT (-98.55685061 35.48769),73048,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73048,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.8,,,36,45.8,2020,POINT (-98.55685061 35.48769),73048,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73049,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.5,,,10.9,14.1,5910,POINT (-97.30164966 35.58641057),73049,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73049,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.5,,,33.1,41.8,5910,POINT (-97.30164966 35.58641057),73049,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73050,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,2.7,,,2.1,3.3,1370,POINT (-97.27012625 35.93535314),73050,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73050,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.1,,,29.3,44.8,1370,POINT (-97.27012625 35.93535314),73050,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73051,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.9,,,10.4,13.6,10264,POINT (-97.24581802 35.03323095),73051,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73051,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.1,,,33.8,44.8,10264,POINT (-97.24581802 35.03323095),73051,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73052,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.7,,,10.3,13.1,6315,POINT (-97.59582384 34.83154004),73052,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73052,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.5,,,34.4,46.2,6315,POINT (-97.59582384 34.83154004),73052,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73053,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.5,,,11,14.3,745,POINT (-98.41420827 35.36203519),73053,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73053,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.2,,,34.9,48,745,POINT (-98.41420827 35.36203519),73053,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73054,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.2,,,10.1,12.4,4189,POINT (-97.19166719 35.67305816),73054,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73054,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.5,,,33.9,41.4,4189,POINT (-97.19166719 35.67305816),73054,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73055,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.8,,,11.1,14.7,9942,POINT (-97.91351625 34.64568385),73055,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73055,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.6,,,34,47.6,9942,POINT (-97.91351625 34.64568385),73055,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73056,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.2,,,11.6,14.9,441,POINT (-97.62408405 36.17071025),73056,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73056,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.3,,,37.6,49.2,441,POINT (-97.62408405 36.17071025),73056,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73057,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13,,,11.4,14.6,2384,POINT (-97.43160941 34.83304619),73057,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73057,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43,,,36.2,49.5,2384,POINT (-97.43160941 34.83304619),73057,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73058,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,16.3,,,14,18.7,332,POINT (-97.2182966 35.82061507),73058,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73058,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,45.8,,,38.6,53.2,332,POINT (-97.2182966 35.82061507),73058,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73059,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.5,,,10.2,13,2924,POINT (-98.04736578 35.31890783),73059,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73059,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,38.8,,,33.4,44.5,2924,POINT (-98.04736578 35.31890783),73059,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73061,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.9,,,8.5,11.4,1596,POINT (-97.05074175 36.31362138),73061,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73061,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.3,,,30.3,44.9,1596,POINT (-97.05074175 36.31362138),73061,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73062,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,14.6,,,12.5,16.7,1396,POINT (-98.74386621 35.04520986),73062,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73062,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.4,,,32.1,47.1,1396,POINT (-98.74386621 35.04520986),73062,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73063,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.3,,,10.8,14.1,691,POINT (-97.403324 36.03148944),73063,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73063,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.8,,,36.7,49.2,691,POINT (-97.403324 36.03148944),73063,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73064,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.8,,,7.6,10.1,20611,POINT (-97.74555391 35.37518877),73064,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73064,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.4,,,31.7,41.4,20611,POINT (-97.74555391 35.37518877),73064,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73065,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.5,,,8,11,6546,POINT (-97.61209174 35.25212995),73065,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73065,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.2,,,31.8,46.6,6546,POINT (-97.61209174 35.25212995),73065,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73066,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13,,,11.4,14.8,417,POINT (-97.328861 35.50264957),73066,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73066,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,38.3,,,33.9,42.8,417,POINT (-97.328861 35.50264957),73066,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73067,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.9,,,11.1,14.9,2161,POINT (-97.90816413 34.90309845),73067,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73067,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.6,,,33.9,47.7,2161,POINT (-97.90816413 34.90309845),73067,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73068,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11,,,9.5,12.7,11707,POINT (-97.28285849 35.1390441),73068,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73068,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.8,,,31.7,42.5,11707,POINT (-97.28285849 35.1390441),73068,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73069,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9,,,7.9,10.4,23912,POINT (-97.46290905 35.24963606),73069,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73069,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.5,,,29.5,40,23912,POINT (-97.46290905 35.24963606),73069,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73071,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.1,,,7,9.3,36711,POINT (-97.41140987 35.23900768),73071,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73071,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,33.7,,,28.8,39.1,36711,POINT (-97.41140987 35.23900768),73071,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73072,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.5,,,6.5,8.6,42797,POINT (-97.50313096 35.2082907),73072,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73072,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.2,,,26.5,36.4,42797,POINT (-97.50313096 35.2082907),73072,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73073,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.4,,,10.2,12.7,541,POINT (-97.3989095 36.15696337),73073,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73073,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.8,,,36.1,46,541,POINT (-97.3989095 36.15696337),73073,HLTHOUT,OBESITY,CrdPrv,Obesity
